#name	name2
NM_170726.3	ALDH4A1
NM_001319218.1	ALDH4A1
XR_946786.1	ALDH4A1
XR_001737510.1	ALDH4A1
NM_014589.3	PLA2G2E
NM_003760.4	EIF4G3
NM_001198802.2	EIF4G3
NM_001198801.2	EIF4G3
XM_017002703.2	EIF4G3
XM_017002672.2	EIF4G3
XM_017002684.2	EIF4G3
XM_011542375.3	EIF4G3
XM_017002704.2	EIF4G3
XM_011542370.2	EIF4G3
XM_017002678.2	EIF4G3
XM_017002705.2	EIF4G3
XM_017002706.2	EIF4G3
XM_011542356.3	EIF4G3
XM_011542361.3	EIF4G3
XM_017002673.2	EIF4G3
XM_017002674.2	EIF4G3
XM_017002682.2	EIF4G3
XM_017002675.2	EIF4G3
XM_017002685.2	EIF4G3
XM_017002686.2	EIF4G3
XM_017002676.2	EIF4G3
XM_017002691.2	EIF4G3
XM_017002679.2	EIF4G3
XM_017002694.2	EIF4G3
XM_017002681.2	EIF4G3
XM_017002695.2	EIF4G3
XM_017002683.2	EIF4G3
XM_017002696.2	EIF4G3
XM_017002697.2	EIF4G3
XM_017002687.2	EIF4G3
XM_017002698.2	EIF4G3
XM_017002690.2	EIF4G3
XM_017002692.2	EIF4G3
XM_017002707.2	EIF4G3
XM_017002708.2	EIF4G3
XM_017002701.2	EIF4G3
XM_017002702.2	EIF4G3
XM_017002693.2	EIF4G3
XM_011542374.2	EIF4G3
XM_017002677.2	EIF4G3
XM_011542371.2	EIF4G3
XM_017002689.2	EIF4G3
XM_017002699.2	EIF4G3
XM_017002709.2	EIF4G3
XM_017002700.2	EIF4G3
XM_017002710.2	EIF4G3
XM_017002711.2	EIF4G3
XR_002957947.1	EIF4G3
XR_002957948.1	EIF4G3
NM_001198803.2	EIF4G3
XM_024450533.1	EIF4G3
XM_006710473.3	KDM1A
XM_017000717.1	KDM1A
XM_005245786.2	KDM1A
XM_017000716.1	KDM1A
XM_006710474.3	KDM1A
NM_015013.4	KDM1A
NM_001363654.2	KDM1A
NM_001009999.3	KDM1A
XM_017000730.2	WDTC1
XM_011541058.3	WDTC1
NM_015023.5	WDTC1
NM_001276252.2	WDTC1
XM_011541057.1	WDTC1
XR_001737964.1	LOC105378641
XR_001737965.1	LOC105378641
XR_001737966.1	LOC105378641
XR_001737977.1	LOC107984941
XR_001737123.1	EPHA10
XR_946613.2	EPHA10
XR_001737124.1	EPHA10
XR_946610.1	EPHA10
XM_017001080.1	EPHA10
NM_001099439.2	EPHA10
XM_017001081.1	EPHA10
XR_001737126.1	EPHA10
XR_001737127.1	EPHA10
NM_017646.6	TRIT1
NM_001312691.1	TRIT1
NM_001312692.1	TRIT1
NR_132415.1	TRIT1
NR_132401.1	TRIT1
NR_132402.1	TRIT1
NR_132404.1	TRIT1
NR_132403.1	TRIT1
NR_132405.1	TRIT1
NR_132406.1	TRIT1
NR_132407.1	TRIT1
NR_132408.1	TRIT1
NR_132410.1	TRIT1
NR_132409.1	TRIT1
NR_132412.1	TRIT1
NR_132413.1	TRIT1
NR_132414.1	TRIT1
XM_005270954.2	TRIT1
XM_006710706.1	TRIT1
XR_946672.2	TRIT1
XR_001738029.1	LOC107984948
NM_020883.2	ZSWIM5
XM_011541861.3	ZSWIM5
NM_001328648.1	PIK3R3
NM_001303427.2	LOC110117498-PIK3R3
NR_125987.1	LOC101929626
NM_005764.4	PDZK1IP1
XM_011540929.2	SLC5A9
XM_017000558.1	SLC5A9
XR_946573.2	SLC5A9
XM_011540925.2	SLC5A9
XM_011540924.2	SLC5A9
NM_001011547.3	SLC5A9
NM_001135181.2	SLC5A9
XM_011540926.3	SLC5A9
XM_011540928.1	SLC5A9
XM_011540927.1	SLC5A9
XM_017002595.2	AGBL4
NM_001323574.2	AGBL4
NM_001323573.2	AGBL4
NM_032785.4	AGBL4
NM_001323575.2	AGBL4
NR_136623.2	AGBL4
XM_017002597.2	AGBL4
XM_011542308.2	AGBL4
XM_017002596.2	AGBL4
XM_024450399.1	AGBL4
XM_017002598.2	AGBL4
XM_011542310.2	AGBL4
NM_001159969.2	EPS15
NM_001981.3	EPS15
XM_017000615.2	EPS15
XM_017000616.2	EPS15
XM_017000617.2	EPS15
XM_017000618.2	EPS15
XM_017000620.2	EPS15
XM_017000619.2	EPS15
XM_005270618.3	EPS15
NM_015269.2	TUT4
NM_001009881.3	TUT4
XM_005270680.3	TUT4
XM_017000805.2	TUT4
XM_017000811.2	TUT4
XM_017000812.2	TUT4
XM_017000813.2	TUT4
XM_017000807.2	TUT4
XM_017000804.2	TUT4
XM_017000809.2	TUT4
XM_017000810.2	TUT4
XM_017000814.2	TUT4
XR_001737074.2	TUT4
XM_006710498.2	TUT4
XM_006710499.3	TUT4
XM_005270676.2	TUT4
XM_005270678.2	TUT4
XM_005270679.2	TUT4
XM_005270681.2	TUT4
XM_005270683.2	TUT4
XM_006710500.1	TUT4
XM_017000806.1	TUT4
XM_011541098.1	TUT4
XM_017000803.1	TUT4
XM_011541099.1	TUT4
XM_005270682.2	TUT4
XM_017000808.1	TUT4
XM_011541097.1	TUT4
XR_002959846.1	TUT4
XR_001737073.1	TUT4
XR_947372.2	LINC02784
NM_021080.5	DAB1
NM_001353980.1	DAB1
NR_110628.1	LOC101926964
XM_011540470.2	PATJ
XM_006710278.4	PATJ
XM_005270347.2	PATJ
XM_011540469.3	PATJ
XM_011540468.3	PATJ
XM_016999999.2	PATJ
XM_024448614.1	PATJ
XM_011540465.3	PATJ
XM_024448642.1	PATJ
XM_016999998.2	PATJ
XM_011540466.3	PATJ
XM_011540464.3	PATJ
XM_011540467.3	PATJ
XM_011540462.3	PATJ
XR_001736900.2	PATJ
XR_002957157.1	PATJ
NM_176877.4	PATJ
NM_001350145.2	PATJ
XM_011540463.2	PATJ
XM_017000000.1	PATJ
NM_001083592.2	ROR1
NM_005012.4	ROR1
XM_017001377.1	ROR1
XM_011541526.1	ROR1
NM_001321853.2	JAK1
NM_001321854.2	JAK1
NM_001321852.2	JAK1
NM_001297440.1	PDE4B
NM_001037341.1	PDE4B
NM_002600.4	PDE4B
NM_001297441.1	PDE4B
NM_001037340.2	PDE4B
NR_040077.1	GNG12-AS1
XM_011542191.2	WLS
NM_001002292.3	WLS
XM_011542192.3	WLS
NM_001193334.1	WLS
NM_024911.7	WLS
XM_017002390.2	WLS
XR_947486.2	LOC105378787
XR_001737671.2	LOC105378797
XR_947506.2	LOC105378797
XR_947505.2	LOC105378797
XR_001737670.1	LOC105378797
NM_001199327.1	FPGT-TNNI3K
NM_001112808.2	FPGT-TNNI3K
NM_015978.3	TNNI3K
XR_001737094.2	ST6GALNAC3
NM_001349110.2	ST6GALNAC3
NM_001160011.3	ST6GALNAC3
NM_001349105.2	ST6GALNAC3
NM_001349108.2	ST6GALNAC3
NM_001349107.2	ST6GALNAC3
NM_152996.4	ST6GALNAC3
NM_001349111.2	ST6GALNAC3
NM_001349106.2	ST6GALNAC3
NM_001349109.2	ST6GALNAC3
NR_146056.2	ST6GALNAC3
XM_017000942.2	ST6GALNAC3
XM_017000938.1	ST6GALNAC3
XM_017000939.1	ST6GALNAC3
XM_017000937.2	ST6GALNAC3
XM_017000941.2	ST6GALNAC3
XM_024446298.1	ZZZ3
XM_017000972.1	ZZZ3
XM_005270725.3	ZZZ3
XM_005270729.4	ZZZ3
XR_001737104.1	ZZZ3
NM_015534.6	ZZZ3
XM_005270726.3	ZZZ3
XM_005270727.4	ZZZ3
NM_001308237.1	ZZZ3
XM_017000970.2	ZZZ3
XR_001737103.1	ZZZ3
NM_006820.4	IFI44L
XM_024454350.1	ADGRL2
NM_001366003.1	ADGRL2
NM_001366004.1	ADGRL2
NM_001366008.1	ADGRL2
NM_001297704.2	ADGRL2
XM_017000789.2	ADGRL2
XM_024454355.1	ADGRL2
XM_017000797.2	ADGRL2
XM_024454359.1	ADGRL2
XM_011541187.2	MCOLN2
XM_011541188.3	MCOLN2
XM_005270719.3	MCOLN2
NM_001330647.2	MCOLN2
NM_153259.4	MCOLN2
XR_001737090.2	MCOLN2
XR_001737091.2	MCOLN2
XM_017000929.2	COL24A1
XM_017000928.2	COL24A1
XM_017000926.1	COL24A1
XM_017000927.1	COL24A1
XM_017000925.2	COL24A1
XM_017000924.2	COL24A1
NM_001349955.1	COL24A1
NM_152890.7	COL24A1
NR_146345.1	COL24A1
NR_146343.1	COL24A1
NR_146344.1	COL24A1
NR_146342.2	COL24A1
NR_146341.2	COL24A1
NR_146340.2	COL24A1
XR_001737092.1	COL24A1
XM_017000930.1	COL24A1
NM_001134492.2	HS2ST1
NM_012262.4	HS2ST1
XR_001737681.1	LOC105378842
XR_947579.2	LOC105378842
XR_001737682.1	LOC105378842
NR_034089.1	CCDC18-AS1
XM_017000508.2	DPYD
XM_017000509.2	DPYD
NM_000110.4	DPYD
XM_017000507.1	DPYD
XM_017000510.1	DPYD
XM_005270562.3	DPYD
XM_006710397.3	DPYD
XR_947647.2	LINC01709
XR_947644.2	LINC01709
XR_947648.2	LINC01709
XR_947646.2	LINC01709
XR_947645.2	LINC01709
NR_126382.1	LINC01397
NM_001007794.2	CEPT1
XM_024450080.1	CEPT1
XR_001736911.2	CEPT1
NR_138485.2	CEPT1
NM_001330743.2	CEPT1
NM_006090.5	CEPT1
NR_138484.2	CEPT1
NR_138483.2	CEPT1
XM_011540496.2	CEPT1
NR_157569.1	NGF-AS1
XR_002956654.1	ATP1A1
NM_000701.8	ATP1A1
NM_001160233.1	ATP1A1
XM_017001361.1	ATP1A1
XM_017001360.1	ATP1A1
NM_001160234.1	ATP1A1
NR_144516.1	LOC100996724
NR_144517.1	LOC100996724
NM_014455.4	RNF115
XM_005272952.5	RNF115
XR_001737118.2	RNF115
NR_103556.2	HYDIN2
NM_022359.6	PDE4DIP
XM_024451068.1	PDE4DIP
XM_011510176.2	PDE4DIP
XM_011510175.2	PDE4DIP
XM_011510173.2	PDE4DIP
XM_024451067.1	PDE4DIP
XM_017002878.2	PDE4DIP
XM_011510172.2	PDE4DIP
XM_017002894.2	PDE4DIP
XM_017002889.2	PDE4DIP
XM_017002892.2	PDE4DIP
NM_001350521.2	PDE4DIP
XM_017002888.1	PDE4DIP
XM_017002893.1	PDE4DIP
XM_017002887.1	PDE4DIP
NM_001350523.1	PDE4DIP
NM_001198832.2	PDE4DIP
NM_001350522.1	PDE4DIP
XM_017002891.2	PDE4DIP
XM_017002903.2	PDE4DIP
XM_017002899.2	PDE4DIP
XM_006711646.2	PDE4DIP
NM_001195260.1	PDE4DIP
NM_001195261.1	PDE4DIP
XM_006711650.4	PDE4DIP
NM_001002810.3	PDE4DIP
